net_op_name,tech,mcc,mnc,psc_pci,rssi,rsrq,lat,long
Digi RO,LTE,226,10,23,-97.56,-10,45.7451,21.2271
Digi RO,LTE,226,10,23,-96.0,-8,45.745,21.2272
Digi RO,LTE,226,10,23,-96.76,-9,45.7452,21.2271
Digi RO,LTE,226,10,23,-114.0,-10,45.7452,21.2253
Digi RO,LTE,226,10,23,-100.89,-10,45.7451,21.2252
Digi RO,LTE,226,10,34,-94.0,-9,45.745,21.2254
Digi RO,LTE,226,10,34,-100.32,-9,45.7449,21.2255
Digi RO,LTE,226,10,34,-96.04,-9,45.7448,21.2255
Digi RO,LTE,226,10,34,-95.63,-9,45.7447,21.2256
Digi RO,LTE,226,10,34,-94.05,-9,45.7446,21.2256
Digi RO,LTE,226,10,34,-78.62,-9,45.7445,21.2257
Digi RO,LTE,226,10,34,-94.0,-9,45.7445,21.2263
Digi RO,LTE,226,10,34,-94.0,-9,45.7445,21.2266
Digi RO,LTE,226,10,34,-97.59,-9,45.7445,21.2268
Digi RO,LTE,226,10,34,-94.0,-9,45.7444,21.2271
Digi RO,LTE,226,10,34,-94.0,-9,45.7444,21.2274
Digi RO,LTE,226,10,34,-96.74,-9,45.7444,21.2277
Digi RO,LTE,226,10,34,-94.0,-9,45.7443,21.2283
Digi RO,LTE,226,10,34,-94.0,-9,45.7443,21.2285
Digi RO,LTE,226,10,34,-94.0,-9,45.7443,21.2289
Digi RO,LTE,226,10,34,-94.0,-9,45.7443,21.2292
Digi RO,LTE,226,10,34,-94.0,-9,45.7443,21.2295
Digi RO,LTE,226,10,208,-101.95,-10,45.7444,21.2296
Digi RO,LTE,226,10,208,-102.74,-10,45.7445,21.2304
Digi RO,LTE,226,10,208,-101.0,-10,45.7445,21.231
Digi RO,LTE,226,10,208,-102.23,-10,45.7446,21.2312
Digi RO,LTE,226,10,208,-101.89,-10,45.7446,21.2314
Digi RO,LTE,226,10,208,-93.0,-8,45.7446,21.2316
Digi RO,LTE,226,10,208,-96.98,-8,45.7447,21.2317
Digi RO,LTE,226,10,208,-95.6,-8,45.7447,21.2319
Digi RO,LTE,226,10,208,-96.98,-8,45.7448,21.2325
Digi RO,LTE,226,10,208,-95.92,-8,45.7448,21.2327
Digi RO,LTE,226,10,208,-95.92,-8,45.7448,21.2329
Digi RO,LTE,226,10,208,-93.0,-8,45.7448,21.2331
Digi RO,LTE,226,10,208,-95.96,-8,45.7449,21.2333
Digi RO,LTE,226,10,208,-95.96,-8,45.7449,21.2335
Digi RO,LTE,226,10,208,-95.96,-8,45.7449,21.2337
Digi RO,LTE,226,10,208,-95.96,-8,45.745,21.2339
Digi RO,LTE,226,10,208,-105.5,-13,45.745,21.2341
Digi RO,LTE,226,10,208,-105.5,-13,45.745,21.2343
Digi RO,LTE,226,10,208,-103.0,-13,45.745,21.2345
Digi RO,LTE,226,10,208,-105.5,-13,45.7451,21.2346
Digi RO,LTE,226,10,208,-103.58,-13,45.7451,21.2349
Digi RO,LTE,226,10,208,-106.52,-13,45.7452,21.2353
Digi RO,LTE,226,10,207,-112.0,-18,45.7453,21.2358
